os_id,fecha_ingreso,fecha_entrega,cliente,marca,modelo,tipo_equipo,numero_interno,numero_serie,variante,descripcion_problema,trabajos_realizados
28204,2025-07-24 00:00:00-03,2025-08-18 00:00:00-03,MARK,Konsung,9E,ASPIRADOR A BATERÍAS,,MA23060040021,,BATERIA AGOTADA,"Piezas reemplazadas: 1 BATERIA 12V 2,6 AMP""
28205,CONTROL DE FUNCIONAMIENTO OK,
28202,""VACUÓMETRO ROTO, FALLA CARGADOR DE BATERIAS, FALTA PATAS DE GOMA."
28205,2025-07-24 00:00:00-03,2025-09-17 00:00:00-03,MGBIO,Nellcor,N-560,oxímetro de pulso,MG 6662,MG 6662,,,
28207,2025-07-25 00:00:00-03,2025-08-07 00:00:00-03,BIOMEDICAL CARE SUR S.A.S.,Yamind,DM26,CPAP,,y662124390050,20C,,
28208,2025-07-25 00:00:00-03,,MGBIO,Fisher & Paykel Healthcare,HC150,,MG 0724,41011060665,,,
28209,2025-07-25 00:00:00-03,2025-07-29 00:00:00-03,GRUPO INBA,BMC,KIT Respiratorio,POLÍGRAFO,,2205051105A976,,"CAMBIO DE CONECTOR A CANULA. 
CABLE CON FALSO CONTACTO, SE ENCONTRÓ UNA ROTURA EN EL CUERPO DEL CABLE.
SE CAMBIA CABLE COMPLETO (NUEVO NS: 2403290404A090)","Piezas reemplazadas: CONECTOR A CANULA - CABLE DE DATOS (NUEVO NS: 2403290404A090)
"
28211,2025-07-28 00:00:00-03,2025-08-06 00:00:00-03,OXICASTHOMECARE,Philips Respironics,EVERFLO,CONCENTRADOR DE OXÍGENO,,0011974,,"reemplazo de ciolita, valvula pilow, filtro.","Piezas reemplazadas: 
"
28212,2025-07-28 00:00:00-03,2025-08-07 00:00:00-03,MGBIO,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,MG 5016,MZJ5S121669,,cambio de valvula obstruida - control y limpieza del equipo - concentracion en 5L:  90/91,"Piezas reemplazadas: 
"
28214,2025-07-28 00:00:00-03,2025-08-11 00:00:00-03,MGBIO,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,MG 4201,MZJ5S121881,,CORRECCION EN RUEDA TRACERA - AJUSTE DE SILENCIADOR - PEGAO DE FIJACION CARCASA FROTAL - CONTROL DE FUNCIONAMIENTO OK,"Piezas reemplazadas: 
"
28216,2025-07-29 00:00:00-03,2025-09-02 00:00:00-03,ARGENTINA DE GASES S.A.,Konsung,"",,,MA24040060073,,bateria 12v del equipo obsoleta - control de carga ok - control de aspiracion ok - requiere cambio de cable 220 en forma de prevencion y seguridad del equipo - equipo sin patas de goma( no tenemos repuestos de eso para colocarlas),"Piezas reemplazadas: bateria 12v (sin repuestos por el momento) - cable 220v
"
28217,2025-07-29 00:00:00-03,2025-09-02 00:00:00-03,ARGENTINA DE GASES S.A.,Konsung,"",,,MA24040060012,,CAMBIO DE 2 PORTA FUSIBLES CAMBIO DE JACK ALIMENTACION EXTERNA,"Piezas reemplazadas: 2 PORTA FUSIBLES 1 JACK
"
28218,2025-07-29 00:00:00-03,2025-08-13 00:00:00-03,ARGENTINA DE GASES S.A.,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,A80451,,equipo contaminado con bichos en su interior - limpieza interior y exterior- reparacion de placa (incorporacion de Resistencia 10ohm) - baterias obsoletas - circuito neumatico contaminado - limpieza y lubricacion de motor - vacuometro descalibrado,"Piezas reemplazadas: vacuometro - baterias 6v 4A x2 - circuito neumatico - resistencia 10ohm
"
28219,2025-07-29 00:00:00-03,2025-09-02 00:00:00-03,ARGENTINA DE GASES S.A.,BMC,CPAP G1,CPAP,,BJD18611031,RESMART,CONTROL DE FUNCIONAMIENTO OK - ES MUY PROBABLE QUE LO QUE NO HAGA CALENTAR AL HUMIDIFICADOR SEA PROBLEMA DEL EQUIPO CON EL QUE ESTUVO FUNCIONANDO - LIMPIEZA DE CAMARA HUMIDIFICADORA,"Piezas reemplazadas: 
"
28221,2025-07-29 00:00:00-03,2025-09-30 14:34:09-03,ARGENTINA DE GASES S.A.,Konsung,(SIN MODELO),ASPIRADOR A BATERÍAS,,MA2380040035,,reparacion de pata trasera - lubricacion de bomba-control de funcionamiento ok - limpieza general,"Piezas reemplazadas: 
"
28223,2025-07-29 00:00:00-03,2025-08-14 00:00:00-03,SIED,Longfian,JAY,CONCENTRADOR DE OXÍGENO,,MZJ5S122149,,CAMBIO DE COMPRESOR - CAMBIO DE CEOLITA - CAMBIO DE FILTROS LIMPIEZA INTERNA EXTERNA - CONTROL DE FUNCIONAMIENTO OK,"Piezas reemplazadas: 
"
28224,2025-07-29 00:00:00-03,2025-08-14 00:00:00-03,SIED,Longfian,JAY,CONCENTRADOR DE OXÍGENO,,MZJ5S59843,,CAMBIO DE LABIOS DESGASTADOS - CAMBIO DE CAMISAS - LIMPIEZA EXTERNA DE COMPRESOR POR CEOLITA - CAMBIO DE CEOLITA - CAMBIO DE FILTROS - CAMBIO Y ADAPTACION DE RUEDAS TRACERAS - AJUSTE DE PUCO DE SALIDA - CONTROL DE FUNCIONAMIENTO OK,"Piezas reemplazadas: 
"
28225,2025-07-29 00:00:00-03,2025-08-14 00:00:00-03,SIED,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,A8-0476,,equipo no carga correctamente por daño en el jack de alimentacion - baterias obsoletas - circuto neumatico contaminado - limpieza y lubricacion de motor - vacuometro desfasado - reparacion de ajuste de valvula aguja,"Piezas reemplazadas: vacuometro - baterias 6v 4A X2 - CIRCUITO NEUMATICO - JACK DE ALIMENTACION
"
28228,2025-07-29 00:00:00-03,,OSYS,BMC,CPAP G2S,CPAP,,ES122607189,C20,"turbina no arranca por falla en placa (error 115 : equipo detecta que no hay presion generada por turbina) no arranca turbina.
probablemente un pico de tension causo la falla en la placa - control de funcionamiento con placa nueva ok - limpieza interior","Piezas reemplazadas: placa
"
28229,2025-07-29 00:00:00-03,,OSYS,AirSep,NewLife Elite,CONCENTRADOR DE OXÍGENO,,N5136762,5L,"reparacion de compresor, reemplazo de acumulador, flumiter, valvulas selenoides,  canister ciolita recarga, filtros, bateria 9v alarma, filtros nuevos.","Piezas reemplazadas: acumulador- flumiter - valvulas selenoides - filtros - bateria 9v
"
28230,2025-07-29 00:00:00-03,2025-08-01 00:00:00-03,oxigenoterapia lomas s.a,Longfian,JAY,CONCENTRADOR DE OXÍGENO,,A2268,,cambio de manguera de valvua por rotura. Reparación conforme al presupeusto 28230,"Piezas reemplazadas: 
"
28234,2025-07-29 00:00:00-03,2025-09-30 14:41:38-03,AVIL SALUD SRL,Covidien,PB 560,RESPIRADOR,,40966F0520201,,"LIMPIEZA DE SECRECIONES Y POLVO. 
VERIFICACIÓN DE FALLOS DEL SISTEMA: NINGUNO
CALIBRACIÓN: SENSOR PACIENTE, VÁLVULA INTERNA, FLUJO INS, FLUJO ESP.","Piezas reemplazadas: FILTRO EXTERNO
"
28235,2025-07-29 00:00:00-03,2025-09-30 14:42:07-03,AVIL SALUD SRL,Philips Respironics,EVERFLO,CONCENTRADOR DE OXÍGENO,,V0018979,,"reemplazo de tamiz ciolita, valvula pilow, filtro, limpieza interna externa.","Piezas reemplazadas: ceolita - valvula pilow - filtro
"
28236,2025-07-29 00:00:00-03,2025-10-29 16:44:00-03,AVIL SALUD SRL,Philips Respironics,EVERFLO,CONCENTRADOR DE OXÍGENO,,0012660,,"reemplazo de ciolita, valvula pilow, filtro.","Piezas reemplazadas: 
"
28233,2025-07-31 00:00:00-03,2025-09-02 00:00:00-03,OXICASTHOMECARE,Longfian,JAY-5Q,CONCENTRADOR DE OXÍGENO,,MZJ5S79790,,cambio de labios - cambio de filtros - cambio de ceolita - control de funcionamiento ok,"Piezas reemplazadas: filtros - labios - ceolita
"
28238,2025-07-31 00:00:00-03,2025-08-19 00:00:00-03,RESPIFLOW,Silfab,N-33A,ASPIRADOR,,01-0401-11-A,,equipo ruidoso - ajuste de viela - limpieza interior - reparacion de viela ( tenia tornillo que fija al diafragma roto y clavado adentro de la viela) - control de funcionamiento ok - cambio de pulsador mas fusibles,"Piezas reemplazadas: 
"
28239,2025-07-31 00:00:00-03,2025-08-19 00:00:00-03,RESPIFLOW,Silfab,N-33A,ASPIRADOR,,07-0006-12-A,,equipo ruidoso y con baja aspiración - desarme completo de motor - limpieza y lubricación interna - correccion de eje rotor - diafragma de la viela desgastado - o ring de flapper obsoleto - cambio de diafragma y o ring,"Piezas reemplazadas: diafragma - o ring
"
28240,2025-07-31 00:00:00-03,2025-08-19 00:00:00-03,RESPIFLOW,Silfab,N-33A,ASPIRADOR,,A2278,,ajuste de contrapeso suelto - control de funcionamiento ok - aspiracion : 540mmHg - limpieza general,"Piezas reemplazadas: 
"
28241,2025-07-31 00:00:00-03,2025-08-19 00:00:00-03,RESPIFLOW,Silfab,N-33A,ASPIRADOR,,0601806A,,control de funcionamiento ok - aspira 530cmhg,"Piezas reemplazadas: 
"
28242,2025-07-31 00:00:00-03,2025-08-19 00:00:00-03,RESPIFLOW,Silfab,N-33A,ASPIRADOR,,02-0200-11-A,,"cambio de tapa mas valvulas - diafragma, flapper y o ring obsoletos - soporte de jarra roto - reposicion de tecla de encendido/apagado - control de aspiración ok(600mmhg)","Piezas reemplazadas: tapa mas valvulas - diafragma - flapper - o ring - soporte de jarra - tecla
"
28243,2025-07-31 00:00:00-03,2025-08-19 00:00:00-03,RESPIFLOW,Konsung,9E,ASPIRADOR A BATERÍAS,,MA23080040030,,control de funcionamiento ok - ajuste de valvula reguladora - cambio de protector plastico de vacuometro - control de vacio ok(580mmhg - 0.08MPa) - control de carga de baterias ok,"Piezas reemplazadas: protector plastico de vacumetro
"
28244,2025-07-31 00:00:00-03,2025-08-19 00:00:00-03,RESPIFLOW,Konsung,9E,ASPIRADOR A BATERÍAS,,MA23080040016,,cambio de porta fusible 220 - cambio de puerto jack - cambio de toroide - resoldado de compomentes flojos en placa - lubricación de bomba - control de funcionamiento ok - aspira 540 mmhg,"Piezas reemplazadas: 
"
28245,2025-07-31 00:00:00-03,2025-08-19 00:00:00-03,RESPIFLOW,Konsung,9E,ASPIRADOR A BATERÍAS,,MA23080040021,,"BAJO NIVEL DE VACIO, LIMPIEZA Y LUBRICACION DE BOMBAS DE ASPIRACION","Piezas reemplazadas: 
"
28247,2025-07-31 00:00:00-03,2025-08-19 00:00:00-03,RESPIFLOW,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,C6-1267,,motor ruidoso - cambio de piston - limpieza y lubricacion de motor - vacuometro desfasado - control de carga ok - limpieza general,"Piezas reemplazadas: vacuometro
"
28248,2025-07-31 00:00:00-03,2025-08-19 00:00:00-03,RESPIFLOW,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,PROT-0005,,conector de aspiracion del motor roto - base plastica de motor roto - cambio de ambas partes del motor y lubricación(aspiracion maxima 500mmhg) - baterias obsoletas - circuito neumatico obsoleto - ajuste de valvula aguja - PEGADO DE GABINETE POR ROTURA,"Piezas reemplazadas: pack de baterias 6v 4a
"
28249,2025-07-31 00:00:00-03,2025-08-19 00:00:00-03,RESPIFLOW,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,C7-1323,,conector plastico externo roto - valvuja aguja desajustada - control de aspiracion ok del equipo(550mmhg) - control de carga de baterias - ajuste de valvula aguja - limpieza general del equipo,"Piezas reemplazadas: conector plastico externo
"
28250,2025-07-31 00:00:00-03,2025-08-19 00:00:00-03,RESPIFLOW,Silfab,N-33A,ASPIRADOR,,04-137-18-A,,cambio de tapa con valvulas de aspiracion y perilla - control de funcionamiento ok - aspira 560mmhg,"Piezas reemplazadas: 
"
28251,2025-07-31 00:00:00-03,2025-10-15 15:57:23.497142-03,RESPIFLOW,Silfab,N-33A,ASPIRADOR,,10-302-17-A,,cambio de diafragma - ajuste de viela - limpieza y control de equipo - aspira 520mmhg,"Piezas reemplazadas: diafragma
"
28252,2025-07-31 00:00:00-03,2025-08-19 00:00:00-03,RESPIFLOW,Marbel,Sin Información,CALENTADOR HUMIDIFICADOR,,D5-01069,,NO CALIENTA,"Piezas reemplazadas: CAMBIO DE POTENCIOMETRO  CAMBIO DE PERILLA. LIMPIEZA INTERIOR CALIBRACION DE MAXIMA TEMP.
"
28253,2025-07-31 00:00:00-03,2025-08-19 00:00:00-03,RESPIFLOW,Konsung,KSOC-5,CONCENTRADOR DE OXÍGENO,,MA24040080062,,cambio de cooler - cambio de circuit breaker - cambio de filtro externo - control de funcionamiento ok,"Piezas reemplazadas: 
"
28254,2025-07-31 00:00:00-03,2025-08-11 00:00:00-03,MGBIO,BMC,MINI M1,AUTO CPAP,,M1A22602035,,"control de funcionamiento de: Rampa - presiones - reslex - modo autocpap y cpap; calibracion del  equipo- equipo funciona correctamente , no se detectaron fallas ni anormalidades - cambio de filtro","Piezas reemplazadas: filtro
"
28257,2025-08-04 00:00:00-03,2025-08-12 00:00:00-03,OXICASTHOMECARE,Philips Respironics,EVERFLO,CONCENTRADOR DE OXÍGENO,,0012013,,"reemplazo de tamiz ciolita, valvula pilow, filtro, limpieza interna externa.","Piezas reemplazadas: CIOLITA-VALVULA
"
28262,2025-08-04 00:00:00-03,2025-08-11 00:00:00-03,MGBIO,Meditech,G3G,MONITOR MULTIPARAMÉTRICO,MG 3221,G3GL70117,,control de funcionamiento ok - reparacion de plastico de sujecion interno de perilla,"Piezas reemplazadas: 
"
28421,2025-08-04 00:00:00-03,2025-09-17 00:00:00-03,MGBIO,Nellcor,550,OXÍMETRO DE PULSO,MG 2887,560000838,,,
28422,2025-08-04 00:00:00-03,,MGBIO,BMC,BPAP G2,BPAP,MG 5302,BTX18417150,B-25ST,control de funcionamiento ok,"Piezas reemplazadas: 
"
28423,2025-08-04 00:00:00-03,2025-09-01 00:00:00-03,LANCET CORP,ResMed,"",,MG 3836,U4935,,se da de baja por obsoleto,"Piezas reemplazadas: baja
"
28424,2025-08-04 00:00:00-03,,MGBIO,ResMed,TANGO,CPAP,MG 2383,20130311004,,SE DA DE BAJA POR OBSOLETO,""
28432,2025-08-05 00:00:00-03,2025-08-12 00:00:00-03,MGBIO,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,MG 4914,MZJ5S121749,,,
28437,2025-08-05 00:00:00-03,,MGBIO,BMC,BPAP G2,BPAP,MG 7323,T2A22702420,B-25ST,"",""
28259,2025-08-06 00:00:00-03,2025-09-30 14:48:42-03,OXICASTHOMECARE,Philips Respironics,EVERFLO,CONCENTRADOR DE OXÍGENO,,V0017903PX,,CEOLITAS AGOATADAS - SE CAMBIA CANISTER Y VÁLVULA,"Piezas reemplazadas: KIT CANISTER + VÁLVULA
"
28260,2025-08-06 00:00:00-03,2025-08-12 00:00:00-03,OXICASTHOMECARE,CAIRE,Companion 5,,,CBB6920340209,,"ciolita, compresor, sin repuestos de la marca.","Piezas reemplazadas: 
"
28261,2025-08-06 00:00:00-03,2025-09-15 00:00:00-03,OXECOR SRL,BMC,CPAP G3,CPAP,,B3C23204045,,"se cambia carcaza - control de funcionamiento ok 
nuevo numero de serie : B3CBDB09409","Piezas reemplazadas: NO SE COBRA CAMBIO DE CARCAZA
"
28264,2025-08-07 00:00:00-03,2025-08-13 00:00:00-03,NOVAMED S.A.,Yuwell,"",,,2002060822,,correccion en tecla de encendio/apagado -control y limpieza del equipo - aspira 600 cmhg,"Piezas reemplazadas: 
"
28265,2025-08-07 00:00:00-03,2025-08-13 00:00:00-03,NOVAMED S.A.,Yuwell,"",,,200630123,,control de funcionamiento ok - limpieza de equipo - aspiracion de 600mmHg,"Piezas reemplazadas: 
"
28266,2025-08-07 00:00:00-03,2025-08-13 00:00:00-03,NOVAMED S.A.,Yuwell,"",,,2005040093,,lubricacion de bomba - limpieza y control de equipo - aspira 600 cmhg,"Piezas reemplazadas: 
"
28267,2025-08-07 00:00:00-03,2025-08-13 00:00:00-03,NOVAMED S.A.,Yuwell,7E-G,,,2006120031,,arreglo en portafusible - control y limpieza del equipo - aspira 600 mmhg,"Piezas reemplazadas: 
"
28268,2025-08-07 00:00:00-03,,NOVAMED S.A.,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,C8-1400,,AJUSTE DE VALVULA AGUJA - CONTROL Y LIMPIEZA DEL EQUIPO,"Piezas reemplazadas: 
"
28269,2025-08-07 00:00:00-03,,MGBIO,AirSep,NewLife Elite,CONCENTRADOR DE OXÍGENO,MG 2398,MG 2398,5L,cambio de compresor - filtro interno - cambio de bateria - control de funcionamiento ok,"Piezas reemplazadas: 
"
28271,2025-08-07 00:00:00-03,,MGBIO,Longfian,JAY-5Q,CONCENTRADOR DE OXÍGENO,,,,SN: MZJ5S122180,
28272,2025-08-07 00:00:00-03,2025-08-21 00:00:00-03,DIAGNOSTIC MEDIC,Konsung,9E,ASPIRADOR A BATERÍAS,,MA23080040023,,cambio de bateria degradada - lubricacion de bomba - control y limpieza del equipo - aspira 600 mmhg,"Piezas reemplazadas: bateria 12v 2.9Ah
"
28273,2025-08-07 00:00:00-03,,DIAGNOSTIC MEDIC,BMC,PolyWatch YH-600B,POLÍGRAFO,,S224D611008,PRO,"conector de canula nasal de kit dre respiracion roto - aparicion de artificio en la lectura de los datos
CAMBIO DE CONECTOR A CANULA - ACTUALIZACIÓN DE SOFTWARE PARA RESOLUCIÓN DE ARTIFICIO.","Piezas reemplazadas: conector de canula nasal
"
28554,2025-08-09 00:00:00-03,2025-09-08 00:00:00-03,MEDICINA AUXILIAR,Kangaroo,224,BOMBA DE ALIMENTACIÓN,,,,,
28425,2025-08-11 00:00:00-03,2025-09-22 00:00:00-03,MGBIO,BMC,G1,CALENTADOR HUMIDIFICADOR,MG 3661,BTX16677071,RESMART,,
28426,2025-08-11 00:00:00-03,2025-09-01 00:00:00-03,MGBIO,Philips Respironics,N171,CPAP,MG 2650,P0635315558A9,,se da de baja por obsoleto,"Piezas reemplazadas: baja
"
28281,2025-08-12 00:00:00-03,2025-09-15 00:00:00-03,RESPIROXS,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,A9-0518,,MOTOR RUIDOSO POR LABIO DESGASTADO - CIRCUITO NEUMATICO DEGRADADO - BATERIAS OBSOLETAS - VALVULA AGUJA SUELTA - AJUSTE DE VALVULA AGUJA - LIMPIEZA INTERIOR Y EXTERIOR - MAX ASPIRACION 520MMHG,"Piezas reemplazadas: CIRCUITO NEUMATICO - PACK DE BATERIAS 6V 4A - LABIO
"
28306,2025-08-12 00:00:00-03,2025-10-08 12:05:00-03,SICOMED,Yuwell,7A-23B,ASPIRADOR QUIRÚRGICO,,200810301,,"limpieza y lubricado de bomba de vacio, control ok, filtro nuevo.","
"
28440,2025-08-12 00:00:00-03,,MGBIO,Kangaroo,224,BOMBA DE ALIMENTACIÓN,MG 1967,10326,,,
28277,2025-08-13 00:00:00-03,,MGBIO,AirSep,NewLife Elite,CONCENTRADOR DE OXÍGENO,MG 9263,N5159263,5L,"cambio de zeolita 
zeolita S/N: A0003/04",""
28278,2025-08-13 00:00:00-03,2025-08-22 00:00:00-03,MGBIO,BMC,CPAP G2,CPAP,,ES422B01401,,"cambio de cámara humidificadora.
Service preventivo: control de funcionamiento - calibración de turbina - cambio de filtros - limpieza general - pulido de pantalla","Piezas reemplazadas: camara humidificadora - filtro
"
28283,2025-08-13 00:00:00-03,2025-10-06 13:40:00-03,SIED,Longfian,JAY,CONCENTRADOR DE OXÍGENO,,MZJ5S12217,,limpieza interna externa - control de funcionmiento ok,"Piezas reemplazadas: 
"
28284,2025-08-13 00:00:00-03,2025-10-20 11:21:23.131733-03,SIED,AirSep,NewLife Elite,CONCENTRADOR DE OXÍGENO,,N5157371,5L,reparacion de compresor - control de funcionamieno ok - concentra en 5L: 93,"Piezas reemplazadas: 
"
28285,2025-08-13 00:00:00-03,,SIED,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,,SIED032023196,,cambio de labios - cambio de filtros - adaptacion en tapa -cabio de pila,"Piezas reemplazadas: 
"
28287,2025-08-13 00:00:00-03,,NOVAMED S.A.,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,,MZJ5S12147,,cambio de labios - cambio de filtros -  cambio de tecla encendido/apagado - cambio de electrovalvula - cambio de tapa superior - control y limpieza del equipo - concentra en 5l 92,"Piezas reemplazadas: labios - electrovalvula - tapa superior - filtros
"
28288,2025-08-13 00:00:00-03,2025-10-29 16:35:57.312411-03,NOVAMED S.A.,Longfian,JAY,CONCENTRADOR DE OXÍGENO,,,,kit compresor + rulemanes - cambio de filtros - cambio de tecla - control y limpieza del equipo - concenttra en 5l 91.4,"Piezas reemplazadas: 
"
28270,2025-08-14 00:00:00-03,,PANAS,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,A4-0285,,,
28290,2025-08-14 00:00:00-03,2025-09-02 00:00:00-03,TMD,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,B2-0620,,baja aspiracion - limpieza y lubriacion de motor - cambio de flapper y labio - baterias obsoletas - circuito neumatico obsoleto - limpieza interior y exterior,"Piezas reemplazadas: pack de baterias 6v 4a - circuito neumatico - flapper y labio
"
28291,2025-08-14 00:00:00-03,2025-09-02 00:00:00-03,TMD,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,B8-0930,,motor ruidoso por flapper roto - limpieza interior y exterior - requiere cambio de circuito neumatico - cambio de flapper - control de funcionamiento ok - control de carga de baterias ok,"Piezas reemplazadas: flapper - circuito neumatico
"
28292,2025-08-14 00:00:00-03,2025-09-02 00:00:00-03,TMD,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,C1-1010,,baja aspiracion - limpieza y lubricacion de motor  - cambio de flapper y viela - circuito neumatico obsoleto - vacuometro desfasado - baterias obsoletas - limpieza interior y exterior,"Piezas reemplazadas: vacuometro - pack de baterias 6v 4a - flapper - viela - circuito neumatico
"
28293,2025-08-14 00:00:00-03,2025-09-02 00:00:00-03,TMD,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,C2-1091,,falla en carga del equipo por baterias obsoletas - circuito neumatico degradado - vacuometro desfasado control de aspiracion ok - limpieza interior y exterior,"Piezas reemplazadas: BATERIAS 6V 4A - VACUOMETRO CIRCUITO NEUMATICO
"
28294,2025-08-14 00:00:00-03,2025-09-02 00:00:00-03,TMD,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,C2-1093,,baja aspiraicon - baterias obsoletas - limpieza y lubricacion de motor - labio desgastado - circuito neumatico degradado - limpieza interior y exterior,"Piezas reemplazadas: circuito neumatico - labio de motor - pack de baterias 6v 4a
"
28295,2025-08-14 00:00:00-03,2025-09-02 00:00:00-03,TMD,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,C3-1122,,motor ruidoso - flapper dañado y labio desgastado - cambio de ambos- vacuometro desfasado - circuito neumatico degradado - limpieza interior y exterior - baterias obsoletas- control de funcionamiento de motor ok (aspiracion : 550mmhg) - faltan 2 tapas de goma,"Piezas reemplazadas: vacuometro - flapper - labio - circuito neumatico - pack de baterias 6v 4a - pata de goma trasera  y de un lateral del gabinete
"
28297,2025-08-14 00:00:00-03,2025-09-02 00:00:00-03,TMD,BMC,AUTO CPAP G2,AUTO CPAP,,E2322906089,,turbina dañada - no arranca por ingreso de liquido en su interior - control de funcionamiento con turbina nueva ok - calibracion del equipo - cambio de filtro - limpieza intERIOR Y EXTERIOR,"Piezas reemplazadas: turbina np2-m3+ - FILTRO
"
28298,2025-08-14 00:00:00-03,2025-09-02 00:00:00-03,TMD,BMC,AUTO CPAP G2,AUTO CPAP,,E2322906116,,TURBINA ENTREGA PRESION MUY BAJA - TURBINA ESTABA DESENTRADA Y MOVIDA DE SU POSICION EN SU CARCAZA(POSIBLEMENTE POR CAIDA FUERTE DEL EQUIPO) - SE ACOMODO Y CENTRO TURBINA - CALIBRACION DEL EQUIPO - limpieza general,"Piezas reemplazadas: FILTRO
"
28299,2025-08-14 00:00:00-03,2025-09-02 00:00:00-03,TMD,BMC,CPAP G2,CPAP,,E2322906304,,turbina ruidosa por ingreso de liquido en su interior - control de funcionamiento con nueva turbina ok - calibracion del equipo - limpieza interior y exterior - incorporacion de porta filtro y filtro,"Piezas reemplazadas: turbina np2-m3+  - filtro y portafiltro
"
28300,2025-08-14 00:00:00-03,2025-09-02 00:00:00-03,TMD,BMC,CPAP G2,CPAP,,E2323802063,,turbina no llega a la presion de tratamiento por incompatibilidad de turbina y placa - control de funcionamiento con turbina adecuada ok (entra en garantia) - control de funcionamiento del equipo ok - calibracion del equipo,"Piezas reemplazadas: turbina np2-m3+ - filtro
"
28301,2025-08-14 00:00:00-03,2025-09-02 00:00:00-03,TMD,BMC,AUTO CPAP G2,AUTO CPAP,,E2324505197,,turbina dañada por ingreso de liquido en su interior - control de funcionamiento con turbina nueva ok - control de funcionamiento de la placa ok - control de reslex - rampa - presiones - calibracion del equipo- no entra en garantia,"Piezas reemplazadas: turbina nP2-M3+
"
28302,2025-08-14 00:00:00-03,2025-09-02 00:00:00-03,TMD,BMC,CPAP G2,CPAP,,E23BD504049,,equipo ruidoso - turbina ruidosa por ingreso de liquido - control de funcionamiento de la placa ok - control de funcionamiento con turbina nueva ok - calibracion del equipo - equipo no entra en garantia,"Piezas reemplazadas: turbina nP2-M3+
"
28304,2025-08-14 00:00:00-03,2025-09-02 00:00:00-03,TMD,BMC,CPAP G1,CPAP,,BTX16515101,RESMART,control de funcionamiento ok - carcaza superior desgastada y sin manija - cambio de filtro - limpieza general,"Piezas reemplazadas: filtro - carcaza
"
28308,2025-08-14 00:00:00-03,2025-09-16 00:00:00-03,PANAS,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,A1-0139,,,
28309,2025-08-14 00:00:00-03,,PANAS,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,C8-1357,,,
28310,2025-08-14 00:00:00-03,2025-09-16 00:00:00-03,PANAS,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,C5-1221,,,
28312,2025-08-14 00:00:00-03,,SOENSA,BMC,CPAP G2,CPAP,,E2123601196,,mal funcionamiento del reslex - actualizacion de software para solucionar problema del reslex - control de funcionamiento ok - calibracion del equipo - equipo sin filtro - limpieza general,"Piezas reemplazadas: filtro
"
28318,2025-08-14 00:00:00-03,2025-09-16 00:00:00-03,PANAS,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,A4-0285,,BATERÍAS OBSOLETAS - CICRCUITO NEUMATICO DEGRADADO Y CON PERDIDA - VALVULA AGUJA DESAJUSTADA - ASPIRACION MAXIMA DE 550MMHG - CONTROL DE CARGA OK - VACUOMETRO DESCALIBRADO - LIMPIEZA INTERIOR Y EXTERIOR,"Piezas reemplazadas: VACUOMETRO - PACK DE BATERIAS 6V 4A- CIRCUITO NEUMATICO -
"
28319,2025-08-14 00:00:00-03,,PANAS,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,A1-0139,,,"Piezas reemplazadas: 
"
28320,2025-08-14 00:00:00-03,2025-09-16 00:00:00-03,PANAS,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,C8-1357,,VALVULA AGUJA DESAJUSTADA POR EXCESO DE FUERZA DEL USUARIO AL CERRARLA  - MAXIMA ASPIRACION DEL EQUIPO: 580MMHG - CONTROL DE FUNCIONAMIENTO OK,"Piezas reemplazadas: GARANTÍA OK
"
28321,2025-08-14 00:00:00-03,,PANAS,Movi-vac,A-550,ASPIRADOR A BATERÍAS,,C5-1221,,,"Piezas reemplazadas: 
"
28326,2025-08-14 00:00:00-03,2025-09-23 00:00:00-03,SOENSA,BMC,CPAP G2,CPAP,,E2123601196,,,"Piezas reemplazadas: 
"
